CropType,Location,LandType,LandSize,Income,LoanName
Wheat,Vijayapura,Irrigated,2.51,26817,PM Kisan Loan
Organic Vegetables,Dharwad,Irrigated,2.45,40161,Organic Farming Loan
Silk,Kolar,Dryland,1.52,52159,Agricultural Term Loan
Banana,Mysuru,Irrigated,1.66,40985,Horticulture Loan
Pulses,Dharwad,Rainfed,3.5,23302,NABARD Loan
Wheat,Kalaburagi,Irrigated,4.6,33115,Crop Loan
Wheat,Kalaburagi,Irrigated,4.56,25930,Crop Loan
Tea,Chikkamagaluru,Wetland,1.93,74152,NABARD Refinance Scheme
Floriculture,Tumakuru,Irrigated,1.38,67460,NABARD Loan
Organic Vegetables,Mysuru,Irrigated,2.76,35790,Organic Farming Loan
Floriculture,Doddaballapura,Polyhouse,1.23,71589,NABARD Loan
Beekeeping,Kodagu,Dryland,0.57,66710,Agri Clinic Loan
Coconut,Dakshina Kannada,Coastal loamy,3.95,44906,Agri Infrastructure Loan
Wheat,Bagalkot,Dryland,3.6,28375,PM Kisan Loan
Rice,Mysuru,Irrigated,1.96,39692,Crop Loan
Wheat,Bagalkot,Irrigated,1.9,34523,PM Kisan Loan
Wheat,Kalaburagi,Dryland,3.79,34902,Crop Loan
Millets,Ballari,Dryland,4.92,21115,Organic Farming Loan
Rice,Mandya,Wetland,2.76,35534,Irrigation Loan
Coconut,Udupi,Irrigated,2.1,41970,Plantation Loan
Banana,Mandya,Irrigated,2.69,49640,Irrigation Loan
Millets,Ballari,Rainfed,3.74,21662,Soil Health Card Loan
Groundnut,Chikkaballapur,Dryland,4.91,29272,Crop Loan
Coconut,Tumakuru,Coastal loamy,3.89,50565,Plantation Loan
Tea,Chikkamagaluru,Wetland,2.35,94500,Plantation Development Loan
Organic Vegetables,Mysuru,Irrigated,2.11,49481,Horticulture Loan
Coffee,Kodagu,Black cotton soil land,1.75,64928,Plantation Development Loan
Pulses,Raichur,Dryland,2.7,20875,NABARD Loan
Fish Farming,Dakshina Kannada,Wetland,1.65,82710,NABARD Infrastructure Loan
Maize,Davanagere,Dryland,2.54,25411,Farm Mechanization Loan
Coffee,Kodagu,Wetland,1.83,67345,Horticulture Loan
Millets,Tumakuru,Rainfed,4.37,15846,PM Kisan Loan
Silk,Kolar,Dryland,1.88,52478,Agricultural Term Loan
Pulses,Raichur,Rainfed,1.36,20724,NABARD Loan
Coconut,Dakshina Kannada,Coastal loamy,2.19,46649,Plantation Loan
Wheat,Kalaburagi,Irrigated,3.92,30505,Crop Loan
Sugarcane,Mandya,Black cotton soil land,4.9,46457,Agricultural Term Loan
Coffee,Chikkamagaluru,Black cotton soil land,1.14,79182,Plantation Development Loan
Pulses,Raichur,Rainfed,2.86,18409,Organic Farming Loan
Sugarcane,Bagalkot,Black cotton soil land,5.67,52171,Agricultural Term Loan
Organic Vegetables,Mysuru,Dryland,1.19,48486,Horticulture Loan
Coffee,Kodagu,Black cotton soil land,1.64,64947,NABARD Loan
Millets,Chitradurga,Rainfed,3.52,15698,PM Kisan Loan
Floriculture,Tumakuru,Irrigated,0.71,56509,Floriculture Loan
Pulses,Dharwad,Dryland,3.32,18905,NABARD Loan
Mango,Ramanagara,Black cotton soil land,3.8,52348,Horticulture Loan
Millets,Ballari,Rainfed,3.5,16410,Organic Farming Loan
Millets,Koppal,Dryland,5.07,21964,Soil Health Card Loan
Groundnut,Bengaluru Rural,Black cotton soil land,3.89,28407,Organic Farming Loan
Coconut,Udupi,Irrigated,3.55,45278,Agri Infrastructure Loan
Fish Farming,Uttara Kannada,Wetland,1.73,73216,Fisheries Loan
Groundnut,Tumakuru,Dryland,4.92,33463,Organic Farming Loan
Maize,Chikkaballapur,Dryland,2.17,20361,Farm Mechanization Loan
Coconut,Dakshina Kannada,Irrigated,2.96,46456,Plantation Loan
Tea,Chikkamagaluru,Hill slope,1.24,75731,NABARD Refinance Scheme
Floriculture,Doddaballapura,Polyhouse,0.93,67503,NABARD Loan
Silk,Ramanagara,Irrigated,1.89,74650,Sericulture Loan
Banana,Mysuru,Irrigated,2.62,41635,Horticulture Loan
Groundnut,Bengaluru Rural,Dryland,2.93,28693,Organic Farming Loan
Cotton,Ballari,Black cotton soil land,4.84,38257,Kisan Credit Card
Millets,Koppal,Dryland,5.74,19290,Organic Farming Loan
Fish Farming,Udupi,Wetland,1.01,85060,Fisheries Loan
Tea,Chikkamagaluru,Wetland,1.01,89929,NABARD Refinance Scheme
Organic Vegetables,Tumakuru,Dryland,2.19,47235,Horticulture Loan
Wheat,Kalaburagi,Irrigated,4.34,28160,PM Kisan Loan
Mango,Kolar,Black cotton soil land,3.73,43438,Horticulture Loan
Groundnut,Bengaluru Rural,Dryland,2.08,33073,Crop Loan
Mango,Kolar,Black cotton soil land,2.92,50988,Organic Farming Loan
Tea,Chikkamagaluru,Hill slope,1.65,92243,NABARD Refinance Scheme
Cotton,Ballari,Black cotton soil land,3.66,30787,Pest Management Loan
Coffee,Chikkamagaluru,Wetland,0.51,78007,Horticulture Loan
Maize,Chikkaballapur,Rainfed,2.76,20899,Farm Mechanization Loan
Sugarcane,Belagavi,Irrigated,3.73,56786,Agricultural Term Loan
Maize,Chikkaballapur,Dryland,4.57,31804,Crop Loan
Organic Vegetables,Mysuru,Irrigated,2.95,36525,Organic Farming Loan
Coffee,Hassan,Black cotton soil land,1.08,87854,Horticulture Loan
Wheat,Vijayapura,Irrigated,2.8,33822,Crop Loan
Tea,Chikkamagaluru,Hill slope,1.68,96867,Plantation Development Loan
Wheat,Bagalkot,Dryland,1.89,32330,PM Kisan Loan
Tea,Chikkamagaluru,Hill slope,1.18,70310,NABARD Refinance Scheme
Floriculture,Bengaluru Urban,Irrigated,1.74,68069,Floriculture Loan
Beekeeping,Chamarajanagar,Forest edge,0.78,62078,Agri Clinic Loan
Sugarcane,Belagavi,Irrigated,3.33,56455,Farm Mechanization Loan
Wheat,Vijayapura,Irrigated,3.11,32569,PM Kisan Loan
Banana,Hassan,Irrigated,1.51,50259,Irrigation Loan
Maize,Gadag,Rainfed,3.04,29821,Crop Loan
Coffee,Kodagu,Black cotton soil land,1.72,81991,Horticulture Loan
Pulses,Gadag,Rainfed,1.15,22149,PM Kisan Loan
Cotton,Gadag,Black cotton soil land,2.94,38669,Kisan Credit Card
Tea,Chikkamagaluru,Wetland,1.27,76396,NABARD Refinance Scheme
Cotton,Ballari,Dryland,2.39,42994,Crop Loan
Wheat,Bagalkot,Dryland,3.29,27405,Crop Loan
Fish Farming,Uttara Kannada,Wetland,0.62,83941,NABARD Infrastructure Loan
Cotton,Gadag,Black cotton soil land,4.36,43642,Kisan Credit Card
Silk,Kolar,Dryland,2.57,59722,Agricultural Term Loan
Maize,Gadag,Rainfed,2.04,24476,Farm Mechanization Loan
Organic Vegetables,Dharwad,Irrigated,2.01,49681,Horticulture Loan
Fish Farming,Dakshina Kannada,Wetland,2.15,96707,Fisheries Loan
Banana,Mandya,Wetland,2.19,52216,Irrigation Loan
Fish Farming,Uttara Kannada,Wetland,0.54,81721,NABARD Infrastructure Loan
Fish Farming,Dakshina Kannada,Wetland,1.96,91210,Fisheries Loan
Rice,Mandya,Wetland,2.24,30033,Irrigation Loan
Beekeeping,Chamarajanagar,Forest edge,0.74,51699,Agri Clinic Loan
Rice,Mandya,Wetland,1.64,36791,Crop Loan
Beekeeping,Shivamogga,Forest edge,1.25,64670,Apiculture Loan
Organic Vegetables,Tumakuru,Dryland,1.42,49291,Organic Farming Loan
Millets,Ballari,Dryland,2.87,16899,Soil Health Card Loan
Groundnut,Bengaluru Rural,Dryland,2.24,23174,Crop Loan
Millets,Koppal,Dryland,2.87,19893,PM Kisan Loan
Beekeeping,Shivamogga,Forest edge,0.51,56796,Agri Clinic Loan
Banana,Mysuru,Wetland,2.81,49437,Irrigation Loan
Millets,Tumakuru,Rainfed,2.42,18694,Soil Health Card Loan
Tea,Chikkamagaluru,Hill slope,1.04,87187,NABARD Refinance Scheme
Beekeeping,Chamarajanagar,Dryland,0.95,67481,Apiculture Loan
Wheat,Kalaburagi,Dryland,4.49,33163,PM Kisan Loan
Rice,Raichur,Wetland,3.23,36944,Irrigation Loan
Groundnut,Chikkaballapur,Dryland,2.89,26655,Organic Farming Loan
Floriculture,Bengaluru Urban,Irrigated,1.39,53507,NABARD Loan
Cotton,Ballari,Dryland,3.54,33807,Crop Loan
Organic Vegetables,Mysuru,Irrigated,2.0,40278,Horticulture Loan
Fish Farming,Dakshina Kannada,Wetland,1.99,66346,Fisheries Loan
Coconut,Tumakuru,Coastal loamy,1.79,41011,Plantation Loan
Millets,Chitradurga,Dryland,5.96,20041,PM Kisan Loan
Banana,Mysuru,Irrigated,3.24,40172,Irrigation Loan
Banana,Mysuru,Wetland,2.66,53186,Horticulture Loan
Groundnut,Chikkaballapur,Dryland,3.13,29796,Organic Farming Loan
Cotton,Haveri,Dryland,3.46,43571,Pest Management Loan
Rice,Raichur,Wetland,1.32,31780,Irrigation Loan
Groundnut,Tumakuru,Black cotton soil land,2.45,25087,Organic Farming Loan
Fish Farming,Udupi,Wetland,1.4,85046,Fisheries Loan
Rice,Raichur,Wetland,1.89,39997,Irrigation Loan
Coffee,Kodagu,Black cotton soil land,0.85,74571,NABARD Loan
Tea,Chikkamagaluru,Hill slope,1.26,86051,NABARD Refinance Scheme
Groundnut,Bengaluru Rural,Dryland,4.57,26838,Crop Loan
Cotton,Ballari,Black cotton soil land,2.98,36597,Crop Loan
Cotton,Gadag,Dryland,3.12,32860,Kisan Credit Card
Floriculture,Tumakuru,Polyhouse,1.81,57026,NABARD Loan
Pulses,Gadag,Rainfed,2.37,22197,NABARD Loan
Organic Vegetables,Tumakuru,Dryland,1.14,46155,Organic Farming Loan
Banana,Mysuru,Wetland,3.33,40150,Irrigation Loan
Maize,Gadag,Dryland,2.53,22175,Crop Loan
Sugarcane,Belagavi,Black cotton soil land,4.18,54012,Irrigation Loan
Cotton,Dharwad,Black cotton soil land,2.55,43040,Pest Management Loan
Rice,Shivamogga,Irrigated,1.78,30376,Crop Loan
Maize,Gadag,Dryland,2.53,26890,Farm Mechanization Loan
Sugarcane,Bagalkot,Irrigated,2.86,50548,Farm Mechanization Loan
Sugarcane,Bagalkot,Irrigated,2.17,52849,Farm Mechanization Loan
Cotton,Dharwad,Dryland,3.96,36064,Pest Management Loan
Silk,Kolar,Irrigated,2.36,70047,NABARD Loan
Floriculture,Bengaluru Urban,Polyhouse,0.55,54148,NABARD Loan
Rice,Mandya,Wetland,1.55,34672,Crop Loan
Tea,Chikkamagaluru,Wetland,2.41,74327,Plantation Development Loan
Rice,Shivamogga,Wetland,1.74,35145,Irrigation Loan
Tea,Chikkamagaluru,Hill slope,1.41,77035,NABARD Refinance Scheme
Maize,Chikkaballapur,Dryland,4.38,31600,Farm Mechanization Loan
Millets,Tumakuru,Dryland,4.31,17364,Organic Farming Loan
Banana,Mandya,Irrigated,1.78,45562,Horticulture Loan
Silk,Kolar,Irrigated,2.45,59322,Agricultural Term Loan
Pulses,Gadag,Dryland,1.76,20920,NABARD Loan
Banana,Hassan,Irrigated,1.8,52876,Irrigation Loan
Millets,Ballari,Dryland,4.23,17257,Soil Health Card Loan
Rice,Mandya,Wetland,2.05,34144,Crop Loan
Cotton,Haveri,Dryland,4.93,31527,Pest Management Loan
Millets,Koppal,Dryland,5.68,20839,Organic Farming Loan
Floriculture,Tumakuru,Irrigated,1.01,61175,Floriculture Loan
Fish Farming,Uttara Kannada,Wetland,0.78,61715,NABARD Infrastructure Loan
Beekeeping,Shivamogga,Forest edge,1.58,68370,Agri Clinic Loan
Fish Farming,Udupi,Wetland,1.35,62321,NABARD Infrastructure Loan
Coconut,Tumakuru,Coastal loamy,3.09,56808,Plantation Loan
Organic Vegetables,Dharwad,Irrigated,2.49,36190,Organic Farming Loan
Mango,Chikkaballapur,Dryland,1.53,59903,Horticulture Loan
Wheat,Bagalkot,Dryland,2.21,26539,PM Kisan Loan
Fish Farming,Dakshina Kannada,Wetland,1.38,69617,NABARD Infrastructure Loan
Coffee,Chikkamagaluru,Wetland,1.76,64437,NABARD Loan
Rice,Shivamogga,Irrigated,2.69,32366,Crop Loan
Beekeeping,Shivamogga,Dryland,1.47,61439,Apiculture Loan
Coffee,Kodagu,Black cotton soil land,1.57,63129,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.09,85843,NABARD Refinance Scheme
Coffee,Hassan,Black cotton soil land,0.9,85363,Plantation Development Loan
Fish Farming,Udupi,Wetland,1.65,94919,Fisheries Loan
Cotton,Ballari,Black cotton soil land,3.62,35258,Kisan Credit Card
Pulses,Gadag,Dryland,1.54,19075,Organic Farming Loan
Organic Vegetables,Dharwad,Dryland,2.35,45771,Organic Farming Loan
Millets,Koppal,Rainfed,4.56,20947,PM Kisan Loan
Tea,Chikkamagaluru,Hill slope,1.98,75234,NABARD Refinance Scheme
Maize,Gadag,Rainfed,4.99,27438,Crop Loan
Rice,Raichur,Irrigated,1.98,39045,Irrigation Loan
Silk,Kolar,Irrigated,2.23,70402,Agricultural Term Loan
Groundnut,Chikkaballapur,Black cotton soil land,2.62,27392,Crop Loan
Rice,Raichur,Irrigated,1.9,38320,Irrigation Loan
Coffee,Hassan,Wetland,1.19,61761,NABARD Loan
Mango,Ramanagara,Dryland,3.56,51710,Horticulture Loan
Organic Vegetables,Dharwad,Dryland,1.86,45763,Organic Farming Loan
Maize,Gadag,Rainfed,4.23,24198,Farm Mechanization Loan
Maize,Davanagere,Rainfed,3.27,20448,Farm Mechanization Loan
Groundnut,Tumakuru,Black cotton soil land,4.52,27351,Crop Loan
Floriculture,Tumakuru,Irrigated,1.28,60123,Floriculture Loan
Groundnut,Tumakuru,Black cotton soil land,3.69,34169,Crop Loan
Organic Vegetables,Mysuru,Dryland,1.4,47996,Organic Farming Loan
Organic Vegetables,Dharwad,Dryland,1.65,38922,Horticulture Loan
Sugarcane,Mysuru,Black cotton soil land,3.9,47771,Irrigation Loan
Sugarcane,Bagalkot,Black cotton soil land,2.74,53472,Farm Mechanization Loan
Fish Farming,Uttara Kannada,Wetland,1.33,88067,Fisheries Loan
Millets,Tumakuru,Rainfed,4.24,17058,Organic Farming Loan
Millets,Chitradurga,Rainfed,3.96,15168,Soil Health Card Loan
Floriculture,Doddaballapura,Irrigated,1.78,54396,Floriculture Loan
Organic Vegetables,Mysuru,Dryland,2.85,48574,Horticulture Loan
Coconut,Tumakuru,Irrigated,1.04,53351,Plantation Loan
Coffee,Chikkamagaluru,Black cotton soil land,1.76,73272,NABARD Loan
Sugarcane,Mysuru,Black cotton soil land,2.66,52159,Farm Mechanization Loan
Coconut,Tumakuru,Coastal loamy,2.07,48631,Plantation Loan
Banana,Mysuru,Irrigated,2.04,49621,Irrigation Loan
Silk,Chikkaballapur,Dryland,1.66,68647,NABARD Loan
Fish Farming,Uttara Kannada,Wetland,0.97,69637,NABARD Infrastructure Loan
Sugarcane,Mandya,Irrigated,3.78,56897,Farm Mechanization Loan
Fish Farming,Udupi,Wetland,2.37,99387,Fisheries Loan
Floriculture,Tumakuru,Irrigated,0.52,72558,Floriculture Loan
Coffee,Kodagu,Black cotton soil land,0.55,82442,Horticulture Loan
Silk,Chikkaballapur,Irrigated,2.64,59583,Agricultural Term Loan
Fish Farming,Udupi,Wetland,1.12,70980,NABARD Infrastructure Loan
Banana,Mysuru,Irrigated,2.59,41301,Horticulture Loan
Cotton,Gadag,Dryland,3.15,39048,Crop Loan
Maize,Gadag,Rainfed,2.88,34389,Farm Mechanization Loan
Maize,Gadag,Rainfed,2.12,29786,Farm Mechanization Loan
Sugarcane,Belagavi,Black cotton soil land,3.03,53219,Agricultural Term Loan
Organic Vegetables,Tumakuru,Irrigated,2.55,44709,Horticulture Loan
Floriculture,Doddaballapura,Irrigated,0.76,70271,NABARD Loan
Coconut,Tumakuru,Irrigated,3.79,56629,Plantation Loan
Mango,Chikkaballapur,Black cotton soil land,2.53,35317,Horticulture Loan
Coconut,Udupi,Coastal loamy,1.32,55560,Agri Infrastructure Loan
Millets,Tumakuru,Rainfed,4.72,18914,Soil Health Card Loan
Floriculture,Doddaballapura,Polyhouse,0.84,74933,Floriculture Loan
Coffee,Kodagu,Wetland,1.56,63110,Horticulture Loan
Millets,Tumakuru,Rainfed,2.59,16283,Soil Health Card Loan
Tea,Chikkamagaluru,Hill slope,1.39,70492,Plantation Development Loan
Maize,Davanagere,Rainfed,3.26,24821,Crop Loan
Cotton,Gadag,Black cotton soil land,4.91,30855,Kisan Credit Card
Floriculture,Bengaluru Urban,Polyhouse,1.47,57481,Floriculture Loan
Floriculture,Doddaballapura,Irrigated,1.61,71944,NABARD Loan
Beekeeping,Kodagu,Forest edge,1.34,56938,Apiculture Loan
Cotton,Gadag,Dryland,3.04,40925,Kisan Credit Card
Pulses,Bidar,Dryland,1.97,19807,PM Kisan Loan
Groundnut,Tumakuru,Dryland,2.26,33113,Crop Loan
Pulses,Dharwad,Rainfed,1.76,23756,PM Kisan Loan
Floriculture,Doddaballapura,Polyhouse,1.82,68697,NABARD Loan
Banana,Mandya,Wetland,2.97,45286,Irrigation Loan
Floriculture,Tumakuru,Irrigated,1.47,71929,Floriculture Loan
Sugarcane,Mysuru,Irrigated,3.52,47397,Agricultural Term Loan
Silk,Chikkaballapur,Irrigated,2.41,53491,Sericulture Loan
Tea,Chikkamagaluru,Wetland,1.19,71321,Plantation Development Loan
Silk,Chikkaballapur,Irrigated,2.8,73019,Agricultural Term Loan
Groundnut,Chikkaballapur,Black cotton soil land,3.22,23086,Crop Loan
Cotton,Dharwad,Black cotton soil land,2.14,32768,Kisan Credit Card
Rice,Shivamogga,Irrigated,1.98,34502,Kisan Credit Card
Cotton,Gadag,Dryland,4.29,32846,Pest Management Loan
Rice,Shivamogga,Irrigated,3.07,39671,Crop Loan
Sugarcane,Belagavi,Irrigated,4.58,53918,Farm Mechanization Loan
Silk,Kolar,Dryland,2.31,72596,Sericulture Loan
Rice,Raichur,Wetland,3.03,33163,Crop Loan
Silk,Ramanagara,Dryland,2.47,59935,NABARD Loan
Beekeeping,Shivamogga,Forest edge,1.0,61064,Apiculture Loan
Millets,Koppal,Dryland,2.45,21723,PM Kisan Loan
Coffee,Hassan,Black cotton soil land,1.23,85521,NABARD Loan
Silk,Chikkaballapur,Dryland,2.37,50126,Sericulture Loan
Coconut,Tumakuru,Coastal loamy,1.54,43509,Agri Infrastructure Loan
Coconut,Udupi,Coastal loamy,2.1,56572,Plantation Loan
Coffee,Chikkamagaluru,Black cotton soil land,0.83,76863,NABARD Loan
Groundnut,Chikkaballapur,Dryland,2.2,26650,Organic Farming Loan
Cotton,Gadag,Black cotton soil land,2.75,41088,Pest Management Loan
Groundnut,Tumakuru,Dryland,4.06,25050,Organic Farming Loan
Maize,Chikkaballapur,Dryland,2.77,27186,Farm Mechanization Loan
Floriculture,Tumakuru,Irrigated,1.54,71427,NABARD Loan
Maize,Davanagere,Dryland,4.7,28345,Farm Mechanization Loan
Beekeeping,Shivamogga,Dryland,1.7,69797,Agri Clinic Loan
Cotton,Gadag,Black cotton soil land,4.89,33532,Kisan Credit Card
Coffee,Chikkamagaluru,Wetland,1.74,65717,Plantation Development Loan
Pulses,Gadag,Dryland,1.82,23439,NABARD Loan
Banana,Hassan,Wetland,2.05,44085,Irrigation Loan
Mango,Chikkaballapur,Black cotton soil land,3.09,50850,Organic Farming Loan
Coconut,Tumakuru,Coastal loamy,2.93,55286,Plantation Loan
Banana,Hassan,Wetland,2.21,44834,Irrigation Loan
Tea,Chikkamagaluru,Hill slope,2.31,96780,NABARD Refinance Scheme
Beekeeping,Chamarajanagar,Forest edge,1.96,63250,Apiculture Loan
Cotton,Gadag,Black cotton soil land,4.13,34209,Kisan Credit Card
Groundnut,Tumakuru,Dryland,4.73,28144,Crop Loan
Tea,Chikkamagaluru,Wetland,1.96,81148,NABARD Refinance Scheme
Cotton,Haveri,Black cotton soil land,4.53,38623,Pest Management Loan
Tea,Chikkamagaluru,Wetland,2.15,75806,Plantation Development Loan
Rice,Shivamogga,Irrigated,2.31,33473,Kisan Credit Card
Rice,Raichur,Irrigated,1.09,39656,Irrigation Loan
Groundnut,Chikkaballapur,Dryland,2.29,24377,Organic Farming Loan
Wheat,Vijayapura,Dryland,2.98,34218,PM Kisan Loan
Banana,Mandya,Wetland,1.92,43582,Horticulture Loan
Rice,Mysuru,Irrigated,3.49,31171,Irrigation Loan
Cotton,Ballari,Dryland,3.09,39688,Pest Management Loan
Sugarcane,Belagavi,Black cotton soil land,4.35,46077,Agricultural Term Loan
Coconut,Udupi,Coastal loamy,3.77,57427,Agri Infrastructure Loan
Millets,Chitradurga,Dryland,5.66,16955,Organic Farming Loan
Mango,Ramanagara,Black cotton soil land,1.81,42662,Organic Farming Loan
Millets,Tumakuru,Dryland,4.42,20906,Soil Health Card Loan
Sugarcane,Belagavi,Black cotton soil land,3.72,46209,Farm Mechanization Loan
Organic Vegetables,Tumakuru,Irrigated,1.79,40730,Organic Farming Loan
Coconut,Dakshina Kannada,Irrigated,3.67,49362,Agri Infrastructure Loan
Millets,Ballari,Dryland,3.09,21925,Soil Health Card Loan
Beekeeping,Kodagu,Dryland,1.85,59383,Apiculture Loan
Silk,Chikkaballapur,Irrigated,1.58,51237,Sericulture Loan
Mango,Chikkaballapur,Black cotton soil land,1.59,45258,Organic Farming Loan
Groundnut,Bengaluru Rural,Black cotton soil land,2.78,26472,Organic Farming Loan
Mango,Ramanagara,Dryland,3.39,42398,Horticulture Loan
Mango,Chikkaballapur,Black cotton soil land,1.74,59127,Organic Farming Loan
Cotton,Dharwad,Dryland,3.0,37192,Pest Management Loan
Pulses,Gadag,Rainfed,2.74,23106,Organic Farming Loan
Groundnut,Bengaluru Rural,Black cotton soil land,4.74,33243,Organic Farming Loan
Tea,Chikkamagaluru,Hill slope,2.09,87665,NABARD Refinance Scheme
Maize,Davanagere,Dryland,3.87,31075,Farm Mechanization Loan
Organic Vegetables,Dharwad,Dryland,2.98,48107,Organic Farming Loan
Tea,Chikkamagaluru,Wetland,2.08,77840,Plantation Development Loan
Millets,Koppal,Rainfed,3.4,20480,Organic Farming Loan
Floriculture,Doddaballapura,Polyhouse,0.71,75917,Floriculture Loan
Floriculture,Doddaballapura,Irrigated,0.95,74603,NABARD Loan
Coffee,Chikkamagaluru,Black cotton soil land,1.73,82731,NABARD Loan
Groundnut,Chikkaballapur,Black cotton soil land,2.47,26502,Organic Farming Loan
Rice,Mandya,Irrigated,3.78,32748,Kisan Credit Card
Maize,Chikkaballapur,Rainfed,3.86,34010,Farm Mechanization Loan
Wheat,Kalaburagi,Irrigated,2.42,30305,PM Kisan Loan
Banana,Mysuru,Wetland,2.0,49863,Horticulture Loan
Groundnut,Chikkaballapur,Black cotton soil land,2.51,23295,Crop Loan
Sugarcane,Belagavi,Black cotton soil land,3.03,51706,Agricultural Term Loan
Banana,Mysuru,Irrigated,2.58,45431,Irrigation Loan
Pulses,Raichur,Dryland,2.12,24171,Organic Farming Loan
Tea,Chikkamagaluru,Wetland,1.69,93972,Plantation Development Loan
Maize,Chikkaballapur,Dryland,3.31,20064,Farm Mechanization Loan
Coffee,Kodagu,Wetland,1.78,62273,NABARD Loan
Millets,Chitradurga,Dryland,4.14,15280,Soil Health Card Loan
Banana,Mysuru,Wetland,2.61,53972,Irrigation Loan
Groundnut,Chikkaballapur,Dryland,3.42,34938,Crop Loan
Sugarcane,Bagalkot,Irrigated,2.67,55693,Agricultural Term Loan
Wheat,Bagalkot,Dryland,3.45,32201,Crop Loan
Silk,Chikkaballapur,Dryland,1.1,52168,Agricultural Term Loan
Coconut,Udupi,Irrigated,1.73,44046,Agri Infrastructure Loan
Banana,Mandya,Irrigated,3.02,53033,Horticulture Loan
Millets,Ballari,Dryland,3.82,20285,PM Kisan Loan
Maize,Chikkaballapur,Rainfed,4.36,30463,Farm Mechanization Loan
Banana,Mysuru,Irrigated,2.12,53923,Irrigation Loan
Pulses,Raichur,Rainfed,2.51,20363,Organic Farming Loan
Coffee,Kodagu,Black cotton soil land,1.36,85345,Plantation Development Loan
Pulses,Dharwad,Rainfed,2.63,19711,Organic Farming Loan
Pulses,Dharwad,Rainfed,1.48,18580,PM Kisan Loan
Tea,Chikkamagaluru,Hill slope,1.95,87252,Plantation Development Loan
Coconut,Tumakuru,Irrigated,3.7,45772,Plantation Loan
Coffee,Chikkamagaluru,Wetland,0.88,70536,NABARD Loan
Silk,Ramanagara,Irrigated,1.33,63057,NABARD Loan
Cotton,Dharwad,Black cotton soil land,2.99,39427,Kisan Credit Card
Millets,Ballari,Rainfed,4.42,16308,PM Kisan Loan
Wheat,Kalaburagi,Irrigated,2.01,29719,PM Kisan Loan
Coffee,Hassan,Wetland,1.92,76150,NABARD Loan
Organic Vegetables,Tumakuru,Irrigated,2.81,36664,Organic Farming Loan
Coconut,Udupi,Irrigated,2.65,58728,Agri Infrastructure Loan
Cotton,Dharwad,Black cotton soil land,4.98,32470,Kisan Credit Card
Sugarcane,Mandya,Black cotton soil land,2.66,48940,Agricultural Term Loan
Groundnut,Bengaluru Rural,Black cotton soil land,4.56,22774,Crop Loan
Tea,Chikkamagaluru,Hill slope,2.31,97657,NABARD Refinance Scheme
Mango,Chikkaballapur,Black cotton soil land,1.79,49602,Organic Farming Loan
Floriculture,Bengaluru Urban,Irrigated,0.59,75296,Floriculture Loan
Sugarcane,Bagalkot,Irrigated,3.41,59426,Irrigation Loan
Banana,Mandya,Wetland,1.74,41748,Irrigation Loan
Sugarcane,Mandya,Irrigated,2.37,45107,Irrigation Loan
Floriculture,Tumakuru,Irrigated,0.99,73382,NABARD Loan
Floriculture,Tumakuru,Irrigated,1.46,76786,NABARD Loan
Banana,Mysuru,Irrigated,1.94,53562,Horticulture Loan
Fish Farming,Udupi,Wetland,1.56,96865,Fisheries Loan
Floriculture,Doddaballapura,Polyhouse,0.84,66875,Floriculture Loan
Fish Farming,Udupi,Wetland,1.05,71157,NABARD Infrastructure Loan
Sugarcane,Belagavi,Black cotton soil land,4.57,47529,Irrigation Loan
Beekeeping,Shivamogga,Forest edge,1.25,55037,Agri Clinic Loan
Fish Farming,Uttara Kannada,Wetland,1.91,82926,Fisheries Loan
Cotton,Gadag,Black cotton soil land,3.44,44398,Crop Loan
Rice,Mysuru,Irrigated,2.2,32308,Crop Loan
Fish Farming,Udupi,Wetland,1.12,89154,Fisheries Loan
Millets,Chitradurga,Dryland,2.31,16616,PM Kisan Loan
Wheat,Bagalkot,Dryland,4.02,29343,Crop Loan
Maize,Chikkaballapur,Rainfed,2.3,33224,Farm Mechanization Loan
Floriculture,Tumakuru,Polyhouse,0.55,77441,Floriculture Loan
Groundnut,Tumakuru,Dryland,2.07,25704,Organic Farming Loan
Floriculture,Tumakuru,Irrigated,1.27,71110,NABARD Loan
Sugarcane,Bagalkot,Black cotton soil land,3.43,59583,Agricultural Term Loan
Coffee,Kodagu,Wetland,1.13,86767,Horticulture Loan
Coconut,Udupi,Irrigated,1.05,54645,Plantation Loan
Beekeeping,Kodagu,Dryland,1.45,64521,Apiculture Loan
Groundnut,Chikkaballapur,Dryland,2.29,27252,Organic Farming Loan
Silk,Kolar,Dryland,1.76,73356,Agricultural Term Loan
Rice,Mandya,Irrigated,3.68,37131,Irrigation Loan
Organic Vegetables,Mysuru,Dryland,1.76,38766,Organic Farming Loan
Tea,Chikkamagaluru,Wetland,2.35,91018,NABARD Refinance Scheme
Pulses,Gadag,Rainfed,3.79,20517,PM Kisan Loan
Organic Vegetables,Mysuru,Dryland,1.25,39097,Horticulture Loan
Coffee,Kodagu,Black cotton soil land,1.66,83285,Horticulture Loan
Silk,Chikkaballapur,Dryland,1.27,64765,Agricultural Term Loan
Rice,Mandya,Irrigated,3.97,30714,Irrigation Loan
